lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
59,5,185.104,217.3292,0.8517,0,0,2,0.002929267
61,5,146.5112,123.9559,1.182,0,0,4,0.005135746
45,7,-11.9521,48.0576,-0.2487,0,0,14,0.013245104
47,7,83.0248,64.5674,1.2859,0,0,10,0.009858983
49,7,195.116,153.0277,1.275,0,0,2,0.004160101
51,7,206.9,176.4286,1.1727,0,0,1,0.003608332
53,7,-14.2975,87.3772,-0.1636,0,0,4,0.007285562
59,7,-309.636,148.385,-2.0867,-1,-309.636,1,0.004290259
63,7,-98.1845,152.1584,-0.6453,0,0,2,0.004183868
5,9,238.3667,219.9476,1.0837,0,0,3,0.002894396
43,9,18.0965,172.6358,0.1048,0,0,2,0.003687605
45,9,57.732,85.734,0.6734,0,0,4,0.007425186
47,9,95.8653,67.6985,1.4161,0,0,15,0.009403066
49,9,63.1715,144.2318,0.438,0,0,2,0.004413795
51,9,115.9,338.8776,0.342,0,0,1,0.001878607
53,9,91.9655,78.3211,1.1742,0,0,4,0.008127889
55,9,60.2882,90.4674,0.6664,0,0,4,0.007036721
57,9,82.7993,84.6149,0.9785,0,0,3,0.007523381
59,9,1.191,96.624,0.0123,0,0,2,0.006588395
61,9,-166.6873,103.0042,-1.6183,0,0,4,0.006180328
63,9,-103.928,148.385,-0.7004,0,0,1,0.004290259
-5,11,513.7,18.2175,28.1981,1,513.7,3,0.034910471
3,11,-792.2333,262.1167,-3.0224,-1,-792.2333,3,0.002428753
13,11,527.9889,33.3148,15.8485,1,527.9889,9,0.019103482
17,11,420,29.0441,14.4607,1,420,2,0.021910419
25,11,409.4,42.6111,9.6078,1,409.4,6,0.014937491
45,11,113.945,161.5404,0.7054,0,0,2,0.003940882
47,11,-74.669,170.1063,-0.439,0,0,2,0.003742439
49,11,61.2225,139.0387,0.4403,0,0,2,0.004578645
51,11,22.5002,81.1078,0.2774,0,0,6,0.00784866
53,11,82.8422,61.5282,1.3464,0,0,6,0.010345886
55,11,105.7442,77.6129,1.3625,0,0,4,0.008202046
59,11,87.2322,61.3449,1.422,0,0,6,0.010376794
63,11,-200.792,91.3645,-2.1977,-1,-200.792,3,0.006967634
65,11,-76.593,97.8586,-0.7827,0,0,3,0.00650528
-5,13,343.9333,76.1238,4.5181,1,343.9333,3,0.008362472
13,13,198.9,48.0384,4.1404,1,198.9,3,0.013250396
19,13,407.1555,16.1204,25.2572,1,407.1555,9,0.039441022
43,13,190.7982,88.0996,2.1657,1,190.7982,5,0.007225827
45,13,222.7555,162.5837,1.3701,0,0,2,0.003915594
47,13,114.5666,94.5881,1.2112,0,0,7,0.006730192
49,13,107.162,142.1046,0.7541,0,0,2,0.004479864
55,13,89.4112,71.4546,1.2513,0,0,5,0.008908849
57,13,190.65,91.6204,2.0809,1,190.65,3,0.006948174
59,13,164.5836,66.9362,2.4588,1,164.5836,5,0.009510137
61,13,17.8185,120.6089,0.1477,0,0,2,0.00527826
63,13,-207.705,85.6797,-2.4242,-1,-207.705,4,0.007429891
69,13,31.0565,187.7082,0.1655,0,0,2,0.003391507
-5,15,187.1667,106.9749,1.7496,0,0,3,0.00595094
-3,15,31.6333,77.9492,0.4058,0,0,3,0.008166663
41,15,178,228.3929,0.7794,0,0,1,0.002787371
45,15,259.979,174.9196,1.4863,0,0,2,0.00363946
47,15,372.6,333.3673,1.1177,0,0,1,0.001909659
49,15,54.2311,95.6787,0.5668,0,0,7,0.006653483
55,15,-7.13,94.3212,-0.0756,0,0,3,0.006749235
57,15,83.5625,52.2164,1.6003,0,0,10,0.01219046
59,15,61.5303,81.8545,0.7517,0,0,4,0.007777069
63,15,-143.0589,42.3813,-3.3755,-1,-143.0589,10,0.015018456
65,15,-137.469,89.9196,-1.5288,0,0,2,0.007079586
79,15,-56.717,148.385,-0.3822,0,0,1,0.004290259
