lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   45.000000,   -67.000000,        -2.3152,         0.7027,        -3.2946,        -1.0000,        -2.3152,     8
   49.000000,   -67.000000,         0.8713,         1.3044,         0.6680,         0.0000,         0.0000,     3
   51.000000,   -67.000000,         3.6940,         0.7556,         4.8885,         1.0000,         3.6940,     6
   53.000000,   -67.000000,         7.7080,         1.3302,         5.7946,         1.0000,         7.7080,     3
   55.000000,   -67.000000,         3.6333,         0.6492,         5.5969,         1.0000,         3.6333,    12
   67.000000,   -67.000000,        -0.8208,         1.0377,        -0.7910,         0.0000,         0.0000,     5
   33.000000,   -65.000000,         0.0000,         1.9426,         0.0000,         0.0000,         0.0000,     2
   45.000000,   -65.000000,         1.4723,         1.0091,         1.4589,         0.0000,         0.0000,     4
   47.000000,   -65.000000,         1.4868,         0.8149,         1.8245,         0.0000,         0.0000,     6
   49.000000,   -65.000000,        -0.5893,         0.5092,        -1.1573,         0.0000,         0.0000,    19
   53.000000,   -65.000000,       -10.9500,         1.9426,        -5.6369,        -1.0000,       -10.9500,     2
   55.000000,   -65.000000,         1.9000,         2.7472,         0.6916,         0.0000,         0.0000,     1
   57.000000,   -65.000000,        -4.2881,         0.6881,        -6.2314,        -1.0000,        -4.2881,    10
   45.000000,   -63.000000,        -5.5587,         1.0030,        -5.5423,        -1.0000,        -5.5587,     4
   47.000000,   -63.000000,        -2.4625,         0.7162,        -3.4383,        -1.0000,        -2.4625,     8
   53.000000,   -63.000000,        -6.4500,         1.4080,        -4.5810,        -1.0000,        -6.4500,     2
   55.000000,   -63.000000,        -2.1725,         0.6533,        -3.3256,        -1.0000,        -2.1725,    12
   57.000000,   -63.000000,        -3.2142,         0.7951,        -4.0426,        -1.0000,        -3.2142,     8
   59.000000,   -63.000000,        -1.8232,         0.9092,        -2.0054,        -1.0000,        -1.8232,     5
   47.000000,   -61.000000,        -2.3523,         1.0069,        -2.3361,        -1.0000,        -2.3523,     4
   53.000000,   -61.000000,         5.3514,         1.0916,         4.9022,         1.0000,         5.3514,     5
   55.000000,   -61.000000,       -10.3930,         1.3754,        -7.5561,        -1.0000,       -10.3930,     2
   57.000000,   -61.000000,        -7.2823,         1.4378,        -5.0650,        -1.0000,        -7.2823,     3
   49.000000,   -59.000000,        -0.5550,         0.9976,        -0.5563,         0.0000,         0.0000,     5
   53.000000,   -59.000000,         2.3418,         0.6356,         3.6845,         1.0000,         2.3418,    11
   49.000000,   -57.000000,        -0.9903,         1.8388,        -0.5386,         0.0000,         0.0000,     3
   51.000000,   -57.000000,         1.8935,         1.0244,         1.8483,         0.0000,         0.0000,     4
   53.000000,   -57.000000,        -2.3016,         0.6086,        -3.7820,        -1.0000,        -2.3016,    11
   55.000000,   -57.000000,         7.7033,         1.3183,         5.8433,         1.0000,         7.7033,     3
   49.000000,   -55.000000,        -0.1102,         0.9577,        -0.1150,         0.0000,         0.0000,     6
   51.000000,   -55.000000,        -0.8733,         1.3109,        -0.6662,         0.0000,         0.0000,     3
   47.000000,   -53.000000,        -1.0104,         0.7210,        -1.4014,         0.0000,         0.0000,    12
   67.000000,   -51.000000,       -11.8000,         2.7472,        -4.2953,        -1.0000,       -11.8000,     1
   59.000000,   -45.000000,        -2.8995,         1.5602,        -1.8585,         0.0000,         0.0000,     2
   61.000000,   -45.000000,        -2.6000,         3.6735,        -0.7078,         0.0000,         0.0000,     1
   65.000000,   -37.000000,        -4.8000,         1.5816,        -3.0349,        -1.0000,        -4.8000,     1
   71.000000,   -27.000000,        -2.0000,         2.7041,        -0.7396,         0.0000,         0.0000,     1
   71.000000,   -25.000000,        -1.3085,         1.9364,        -0.6758,         0.0000,         0.0000,     2
   71.000000,   -23.000000,        -2.9870,         2.0661,        -1.4457,         0.0000,         0.0000,     2
   65.000000,   -21.000000,        -1.1105,         1.1578,        -0.9591,         0.0000,         0.0000,     4
   65.000000,   -19.000000,        -2.9565,         1.7188,        -1.7201,         0.0000,         0.0000,     2
   15.000000,   -17.000000,        -3.8000,         0.9949,        -3.8195,        -1.0000,        -3.8000,     1
   21.000000,   -17.000000,        -5.4000,         0.0000,         0.0000,         0.0000,         0.0000,     1
   29.000000,   -11.000000,        -0.7000,         0.8418,        -0.8316,         0.0000,         0.0000,     1
   53.000000,   -11.000000,        -3.3815,         1.9426,        -1.7407,         0.0000,         0.0000,     2
   53.000000,    -9.000000,        -3.0262,         1.0795,        -2.8032,        -1.0000,        -3.0262,     6
   55.000000,    -9.000000,        -4.1000,         2.7472,        -1.4924,         0.0000,         0.0000,     1
   37.000000,    -7.000000,        -3.7900,         1.5861,        -2.3895,        -1.0000,        -3.7900,     3
   41.000000,    -7.000000,        -0.0800,         1.9426,        -0.0412,         0.0000,         0.0000,     2
   43.000000,    -7.000000,         0.7058,         0.8468,         0.8334,         0.0000,         0.0000,     9
   53.000000,    -7.000000,        -0.9317,         0.8131,        -1.1459,         0.0000,         0.0000,     9
